Income,Race,Poverty,HealthBurden,HealthConcernThreshold,HealthConcernImpactOnBehavior,SusceptibleToMarketingToVeg,SusceptibleToMarketingToMeat,SusceptibleToMarketingToPoultry,SusceptibleToMarketingToFish,SusceptibleToMarketingToGrains,SusceptibleToMarketingToLegumesBeansNuts,SusceptibleToMarketingToEggCheese,SusceptibleToMarketingToOther,SusceptibleToPeerPressureForVeg,SusceptibleToPeerPressureForMeat,SusceptibleToPeerPressureForPoultry,SusceptibleToPeerPressureForFish,SusceptibleToPeerPressureForGrains,SusceptibleToPeerPressureForLegumesBeansNuts,SusceptibleToPeerPressureForEggCheese,SusceptibleToPeerPressureForOther,VegPriceSensitivity,MeatPriceSensitivity,PoultryPriceSensitivity,FishPriceSensitivity,GrainsPriceSensitivity,LegumesBeansNutsPriceSensitivity,EggCheesePriceSensitivity,OtherPriceSensitivity,EatingOutPriceSensitivity,HealthConsciousToConsumeVeg,HealthConsciousToConsumeMeat,HealthConsciousToConsumePoultry,HealthConsciousToConsumeFish,HealthConsciousToConsumeGrains,HealthConsciousToConsumeLegumesBeansNuts,HealthConsciousToConsumeEggCheese,HealthConsciousToConsumeOther,CookedDinner_Perc,LeftOverDinner_Perc,FrozenDinner_Perc,NoDinner_Perc,RestuarantDinner_Perc,FastfoodDinner_Perc,CarryoutDinner_Perc,changeinmeatdueto_health,changeinmeatdueto_animalwel,changeinmeatdueto_environment,changeinmeatdueto_costofmeat,changeinmeatdueto_other,clfdata
$25k - $55k,Other Hispanic,1,22.12945893,24.4,0.57,1,1,1,1,1,1,1,1,1.2456,1.2456,1.2456,1.2456,2.4912,2.4912,2.4912,2.4912,0.58,0.59,0.68,0.5,0.6,0.6,0.65,0.76,0.81,0,0,0,0,0,0,0,0,0.319715808,0.168738899,0.055950266,0.01598579,0.111900533,0.247779751,0.079928952,0.428571429,0.142857143,0.142857143,0.714285714,0,yes
$25k - $55k,Other Race - Including Multi-Racial,1,22.73722664,24.4,0.57,1,1,1,1,1,1,1,1,0.84855,0.84855,0.84855,0.84855,1.6971,1.6971,1.6971,1.6971,0.58,0.59,0.68,0.5,0.6,0.6,0.65,0.76,0.81,0,0,0,0,0,0,0,0,0.459459459,0.310810811,0,0.013513514,0.135135135,0.067567568,0.013513514,0.4,0.2,0.2,0.4,0.2,yes
$55k - $75k,Mexican American,1,26.40551329,24.4,0.57,1,1,1,1,1,1,1,1,1.2456,1.2456,1.2456,1.2456,2.4912,2.4912,2.4912,2.4912,0.58,0.59,0.68,0.5,0.6,0.6,0.65,0.76,0.81,0,0,0,0,0,0,0,0,0.342399598,0.168708928,0.067338852,0.123283147,0.083532191,0.13334744,0.081389843,0.514020225,0.132488425,0.11171178,0.497171351,0.213333762,no
$55k - $75k,Non-Hispanic Asian,1,22.12945893,24.4,0.57,1,1,1,1,1,1,1,1,1.2456,1.2456,1.2456,1.2456,2.4912,2.4912,2.4912,2.4912,0.58,0.59,0.68,0.5,0.6,0.6,0.65,0.76,0.81,0,0,0,0,0,0,0,0,0.342399598,0.168708928,0.067338852,0.123283147,0.083532191,0.13334744,0.081389843,0.514020225,0.132488425,0.11171178,0.497171351,0.213333762,no
$55k - $75k,Non-Hispanic Black,1,22.73722664,24.4,0.57,1,1,1,1,1,1,1,1,0.84855,0.84855,0.84855,0.84855,1.6971,1.6971,1.6971,1.6971,0.58,0.59,0.68,0.5,0.6,0.6,0.65,0.76,0.81,0,0,0,0,0,0,0,0,0.342399598,0.168708928,0.067338852,0.123283147,0.083532191,0.13334744,0.081389843,0.514020225,0.132488425,0.11171178,0.497171351,0.213333762,no
$55k - $75k,Non-Hispanic White,1,24.58953932,24.4,0.36,1,1,1,1,1,1,1,1,2.4685,2.4685,2.4685,2.4685,4.937,4.937,4.937,4.937,0.58,0.59,0.68,0.5,0.6,0.6,0.65,0.76,0.81,0,0,0,0,0,0,0,0,0.342399598,0.168708928,0.067338852,0.123283147,0.083532191,0.13334744,0.081389843,0.514020225,0.132488425,0.11171178,0.497171351,0.213333762,no
$55k - $75k,Other Hispanic,1,25.52301288,24.4,0.57,1,1,1,1,1,1,1,1,1.32525,1.32525,1.32525,1.32525,2.6505,2.6505,2.6505,2.6505,0.58,0.59,0.68,0.5,0.6,0.6,0.65,0.76,0.81,0,0,0,0,0,0,0,0,0.342399598,0.168708928,0.067338852,0.123283147,0.083532191,0.13334744,0.081389843,0.514020225,0.132488425,0.11171178,0.497171351,0.213333762,no
$55k - $75k,Other Race - Including Multi-Racial,1,18.59649122,24.4,0.57,1,1,1,1,1,1,1,1,0.7571,0.7571,0.7571,0.7571,1.5142,1.5142,1.5142,1.5142,0.58,0.59,0.68,0.5,0.6,0.6,0.65,0.76,0.81,0,0,0,0,0,0,0,0,0.342399598,0.168708928,0.067338852,0.123283147,0.083532191,0.13334744,0.081389843,0.514020225,0.132488425,0.11171178,0.497171351,0.213333762,no
More than $75k,Mexican American,1,26.40551329,24.4,0.57,1,1,1,1,1,1,1,1,1.2456,1.2456,1.2456,1.2456,2.4912,2.4912,2.4912,2.4912,0.58,0.59,0.68,0.5,0.6,0.6,0.65,0.76,0.81,0,0,0,0,0,0,0,0,0.342399598,0.168708928,0.067338852,0.123283147,0.083532191,0.13334744,0.081389843,0.514020225,0.132488425,0.11171178,0.497171351,0.213333762,no
More than $75k,Non-Hispanic Asian,1,22.12945893,24.4,0.57,1,1,1,1,1,1,1,1,1.2456,1.2456,1.2456,1.2456,2.4912,2.4912,2.4912,2.4912,0.58,0.59,0.68,0.5,0.6,0.6,0.65,0.76,0.81,0,0,0,0,0,0,0,0,0.342399598,0.168708928,0.067338852,0.123283147,0.083532191,0.13334744,0.081389843,0.514020225,0.132488425,0.11171178,0.497171351,0.213333762,no
More than $75k,Non-Hispanic Black,1,22.73722664,24.4,0.57,1,1,1,1,1,1,1,1,0.84855,0.84855,0.84855,0.84855,1.6971,1.6971,1.6971,1.6971,0.58,0.59,0.68,0.5,0.6,0.6,0.65,0.76,0.81,0,0,0,0,0,0,0,0,0.342399598,0.168708928,0.067338852,0.123283147,0.083532191,0.13334744,0.081389843,0.514020225,0.132488425,0.11171178,0.497171351,0.213333762,no
More than $75k,Non-Hispanic White,1,24.58953932,24.4,0.36,1,1,1,1,1,1,1,1,2.4685,2.4685,2.4685,2.4685,4.937,4.937,4.937,4.937,0.58,0.59,0.68,0.5,0.6,0.6,0.65,0.76,0.81,0,0,0,0,0,0,0,0,0.342399598,0.168708928,0.067338852,0.123283147,0.083532191,0.13334744,0.081389843,0.514020225,0.132488425,0.11171178,0.497171351,0.213333762,no
More than $75k,Other Hispanic,1,25.52301288,24.4,0.57,1,1,1,1,1,1,1,1,1.32525,1.32525,1.32525,1.32525,2.6505,2.6505,2.6505,2.6505,0.58,0.59,0.68,0.5,0.6,0.6,0.65,0.76,0.81,0,0,0,0,0,0,0,0,0.342399598,0.168708928,0.067338852,0.123283147,0.083532191,0.13334744,0.081389843,0.514020225,0.132488425,0.11171178,0.497171351,0.213333762,no
More than $75k,Other Race - Including Multi-Racial,1,18.59649122,24.4,0.57,1,1,1,1,1,1,1,1,0.7571,0.7571,0.7571,0.7571,1.5142,1.5142,1.5142,1.5142,0.58,0.59,0.68,0.5,0.6,0.6,0.65,0.76,0.81,0,0,0,0,0,0,0,0,0.342399598,0.168708928,0.067338852,0.123283147,0.083532191,0.13334744,0.081389843,0.514020225,0.132488425,0.11171178,0.497171351,0.213333762,no
Less than $25k,Mexican American,0,26.40551329,24.4,0.57,1,1,1,1,1,1,1,1,1.2456,1.2456,1.2456,1.2456,2.4912,2.4912,2.4912,2.4912,0.58,0.59,0.68,0.5,0.6,0.6,0.65,0.76,0.81,0,0,0,0,0,0,0,0,0.342399598,0.168708928,0.067338852,0.123283147,0.083532191,0.13334744,0.081389843,0.514020225,0.132488425,0.11171178,0.497171351,0.213333762,no
Less than $25k,Non-Hispanic Asian,0,22.12945893,24.4,0.57,1,1,1,1,1,1,1,1,1.2456,1.2456,1.2456,1.2456,2.4912,2.4912,2.4912,2.4912,0.58,0.59,0.68,0.5,0.6,0.6,0.65,0.76,0.81,0,0,0,0,0,0,0,0,0.342399598,0.168708928,0.067338852,0.123283147,0.083532191,0.13334744,0.081389843,0.514020225,0.132488425,0.11171178,0.497171351,0.213333762,no
Less than $25k,Non-Hispanic Black,0,22.73722664,24.4,0.57,1,1,1,1,1,1,1,1,0.84855,0.84855,0.84855,0.84855,1.6971,1.6971,1.6971,1.6971,0.58,0.59,0.68,0.5,0.6,0.6,0.65,0.76,0.81,0,0,0,0,0,0,0,0,0.322752261,0.148253236,0.138145061,0.09771236,0.037063309,0.158361412,0.09771236,0.461538462,0.076923077,0.076923077,0.769230769,0,yes
Less than $25k,Non-Hispanic White,0,24.58953932,24.4,0.36,1,1,1,1,1,1,1,1,2.4685,2.4685,2.4685,2.4685,4.937,4.937,4.937,4.937,0.58,0.59,0.68,0.5,0.6,0.6,0.65,0.76,0.81,0,0,0,0,0,0,0,0,0.376725838,0.147928994,0.106508876,0.098619329,0.061143984,0.128205128,0.08086785,0.387096774,0.096774194,0.064516129,0.580645161,0.322580645,yes
Less than $25k,Other Hispanic,0,25.52301288,24.4,0.57,1,1,1,1,1,1,1,1,1.32525,1.32525,1.32525,1.32525,2.6505,2.6505,2.6505,2.6505,0.58,0.59,0.68,0.5,0.6,0.6,0.65,0.76,0.81,0,0,0,0,0,0,0,0,0.354166667,0.151041667,0.052083333,0.145833333,0.1015625,0.127604167,0.067708333,0.318181818,0.090909091,0.136363636,0.545454545,0.318181818,yes
Less than $25k,Other Race - Including Multi-Racial,0,18.59649122,24.4,0.57,1,1,1,1,1,1,1,1,0.7571,0.7571,0.7571,0.7571,1.5142,1.5142,1.5142,1.5142,0.58,0.59,0.68,0.5,0.6,0.6,0.65,0.76,0.81,0,0,0,0,0,0,0,0,0.342465753,0.095890411,0.082191781,0.136986301,0.150684932,0.123287671,0.068493151,0.8,0.2,0,0.4,0,yes
$25k - $55k,Mexican American,0,26.10789835,24.4,0.57,1,1,1,1,1,1,1,1,0.85005,0.85005,0.85005,0.85005,1.7001,1.7001,1.7001,1.7001,0.58,0.59,0.68,0.5,0.6,0.6,0.65,0.76,0.81,0,0,0,0,0,0,0,0,0.342399598,0.168708928,0.067338852,0.123283147,0.083532191,0.13334744,0.081389843,0.514020225,0.132488425,0.11171178,0.497171351,0.213333762,no
$25k - $55k,Non-Hispanic Asian,0,24.46076522,24.4,0.57,1,1,1,1,1,1,1,1,1.64525,1.64525,1.64525,1.64525,3.2905,3.2905,3.2905,3.2905,0.58,0.59,0.68,0.5,0.6,0.6,0.65,0.76,0.81,0,0,0,0,0,0,0,0,0.342399598,0.168708928,0.067338852,0.123283147,0.083532191,0.13334744,0.081389843,0.514020225,0.132488425,0.11171178,0.497171351,0.213333762,no
$25k - $55k,Non-Hispanic Black,0,23.61501455,24.4,0.36,1,1,1,1,1,1,1,1,1.5532,1.5532,1.5532,1.5532,3.1064,3.1064,3.1064,3.1064,0.58,0.59,0.68,0.5,0.6,0.6,0.65,0.76,0.81,0,0,0,0,0,0,0,0,0.271375465,0.19330855,0.07063197,0.085501859,0.063197026,0.144981413,0.171003717,0.692307692,0.153846154,0.230769231,0.692307692,0.153846154,yes
$25k - $55k,Non-Hispanic White,0,22.54335284,24.4,0.57,1,1,1,1,1,1,1,1,1.01085,1.01085,1.01085,1.01085,2.0217,2.0217,2.0217,2.0217,0.58,0.59,0.68,0.5,0.6,0.6,0.65,0.76,0.81,0,0,0,0,0,0,0,0,0.415265323,0.183893662,0.087672416,0.050084977,0.100169954,0.10402921,0.058884458,0.413043478,0.119565217,0.141304348,0.576086957,0.27173913,yes
$25k - $55k,Other Hispanic,0,25.15017569,24.4,0.36,1,1,1,1,1,1,1,1,2.8713,2.8713,2.8713,2.8713,5.7426,5.7426,5.7426,5.7426,0.58,0.59,0.68,0.5,0.6,0.6,0.65,0.76,0.81,0,0,0,0,0,0,0,0,0.379912664,0.15720524,0.056768559,0.087336245,0.096069869,0.139737991,0.082969432,0.416666667,0.166666667,0.166666667,0.583333333,0.083333333,yes
$25k - $55k,Other Race - Including Multi-Racial,0,24.42029665,24.4,0.36,1,1,1,1,1,1,1,1,1.50085,1.50085,1.50085,1.50085,3.0017,3.0017,3.0017,3.0017,0.58,0.59,0.68,0.5,0.6,0.6,0.65,0.76,0.81,0,0,0,0,0,0,0,0,0.333922261,0.114840989,0.086130742,0.166519435,0.091872792,0.10335689,0.10335689,0.333333333,0.111111111,0.111111111,0.555555556,0.444444444,yes
$55k - $75k,Mexican American,0,25.62821607,24.4,0.36,1,1,1,1,1,1,1,1,1.79245,1.79245,1.79245,1.79245,3.5849,3.5849,3.5849,3.5849,0.58,0.59,0.68,0.5,0.6,0.6,0.65,0.76,0.81,0,0,0,0,0,0,0,0,0.342399598,0.168708928,0.067338852,0.123283147,0.083532191,0.13334744,0.081389843,0.514020225,0.132488425,0.11171178,0.497171351,0.213333762,no
$55k - $75k,Non-Hispanic Asian,0,24.15642987,24.4,0.57,1,1,1,1,1,1,1,1,2.4063,2.4063,2.4063,2.4063,4.8126,4.8126,4.8126,4.8126,0.58,0.59,0.68,0.5,0.6,0.6,0.65,0.76,0.81,0,0,0,0,0,0,0,0,0.342399598,0.168708928,0.067338852,0.123283147,0.083532191,0.13334744,0.081389843,0.514020225,0.132488425,0.11171178,0.497171351,0.213333762,no
$55k - $75k,Non-Hispanic Black,0,22.21246883,24.4,0.36,1,1,1,1,1,1,1,1,1.22355,1.22355,1.22355,1.22355,2.4471,2.4471,2.4471,2.4471,0.58,0.59,0.68,0.5,0.6,0.6,0.65,0.76,0.81,0,0,0,0,0,0,0,0,0.185714286,0.228571429,0.042857143,0.142857143,0.085714286,0.2,0.114285714,0.75,0.25,0.25,0.5,0,yes
$55k - $75k,Non-Hispanic White,0,24.71623957,24.4,0.57,1,1,1,1,1,1,1,1,2.63325,2.63325,2.63325,2.63325,5.2665,5.2665,5.2665,5.2665,0.58,0.59,0.68,0.5,0.6,0.6,0.65,0.76,0.81,0,0,0,0,0,0,0,0,0.415181542,0.155791215,0.067803191,0.031894264,0.088386303,0.144081782,0.096861702,0.522727273,0.113636364,0.090909091,0.636363636,0.204545455,yes
$55k - $75k,Other Hispanic,0,23.43304853,24.4,0.36,1,1,1,1,1,1,1,1,2.239,2.239,2.239,2.239,4.478,4.478,4.478,4.478,0.58,0.59,0.68,0.5,0.6,0.6,0.65,0.76,0.81,0,0,0,0,0,0,0,0,0.242990654,0.121495327,0.130841121,0.112149533,0.121495327,0.140186916,0.130841121,0.666666667,0.333333333,0,0,0,yes
$55k - $75k,Other Race - Including Multi-Racial,0,24.77125898,24.4,0.57,1,1,1,1,1,1,1,1,1.73775,1.73775,1.73775,1.73775,3.4755,3.4755,3.4755,3.4755,0.58,0.59,0.68,0.5,0.6,0.6,0.65,0.76,0.81,0,0,0,0,0,0,0,0,0.259615385,0.163461538,0.019230769,0.144230769,0.076923077,0.259615385,0.076923077,0.142857143,0.142857143,0.142857143,0.285714286,0.428571429,yes
More than $75k,Mexican American,0,29.70711291,24.4,0.57,1,1,1,1,1,1,1,1,0.83915,0.83915,0.83915,0.83915,1.6783,1.6783,1.6783,1.6783,0.58,0.59,0.68,0.5,0.6,0.6,0.65,0.76,0.81,0,0,0,0,0,0,0,0,0.342399598,0.168708928,0.067338852,0.123283147,0.083532191,0.13334744,0.081389843,0.514020225,0.132488425,0.11171178,0.497171351,0.213333762,no
More than $75k,Non-Hispanic Asian,0,24.56395328,24.4,0.36,1,1,1,1,1,1,1,1,1.35265,1.35265,1.35265,1.35265,2.7053,2.7053,2.7053,2.7053,0.58,0.59,0.68,0.5,0.6,0.6,0.65,0.76,0.81,0,0,0,0,0,0,0,0,0.342399598,0.168708928,0.067338852,0.123283147,0.083532191,0.13334744,0.081389843,0.514020225,0.132488425,0.11171178,0.497171351,0.213333762,no
More than $75k,Non-Hispanic Black,0,26.40551329,24.4,0.57,1,1,1,1,1,1,1,1,1.2456,1.2456,1.2456,1.2456,2.4912,2.4912,2.4912,2.4912,0.58,0.59,0.68,0.5,0.6,0.6,0.65,0.76,0.81,0,0,0,0,0,0,0,0,0.346153846,0.201183432,0.044378698,0.127218935,0.068047337,0.115384615,0.097633136,0.727272727,0,0,0.227272727,0.318181818,yes
More than $75k,Non-Hispanic White,0,22.12945893,24.4,0.57,1,1,1,1,1,1,1,1,1.2456,1.2456,1.2456,1.2456,2.4912,2.4912,2.4912,2.4912,0.58,0.59,0.68,0.5,0.6,0.6,0.65,0.76,0.81,0,0,0,0,0,0,0,0,0.431740445,0.153701581,0.06703817,0.045702932,0.118114872,0.111440076,0.072261924,0.600877193,0.122807018,0.127192982,0.429824561,0.23245614,yes
More than $75k,Other Hispanic,0,22.73722664,24.4,0.57,1,1,1,1,1,1,1,1,0.84855,0.84855,0.84855,0.84855,1.6971,1.6971,1.6971,1.6971,0.58,0.59,0.68,0.5,0.6,0.6,0.65,0.76,0.81,0,0,0,0,0,0,0,0,0.349387139,0.123816708,0.076032434,0.077842731,0.112238356,0.157495757,0.103186875,0.714285714,0.178571429,0.178571429,0.464285714,0.142857143,yes
More than $75k,Other Race - Including Multi-Racial,0,24.58953932,24.4,0.36,1,1,1,1,1,1,1,1,2.4685,2.4685,2.4685,2.4685,4.937,4.937,4.937,4.937,0.58,0.59,0.68,0.5,0.6,0.6,0.65,0.76,0.81,0,0,0,0,0,0,0,0,0.440425532,0.180851064,0.057446809,0.061702128,0.089361702,0.09787234,0.072340426,0.653846154,0.076923077,0.076923077,0.269230769,0.269230769,yes
Misc,Misc,Misc,24.30271656,24.4,0.513125,1,1,1,1,1,1,1,1,1.41458125,1.41458125,1.41458125,1.41458125,2.8291625,2.8291625,2.8291625,2.8291625,0.58,0.59,0.68,0.5,0.6,0.6,0.65,0.76,0.81,0,0,0,0,0,0,0,0,0.342399598,0.168708928,0.067338852,0.123283147,0.083532191,0.13334744,0.081389843,0.514020225,0.132488425,0.11171178,0.497171351,0.213333762,no
